,Lyrics,Era
64,"


Damn, my AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Come with the Tony Romo for clowns and all the bozos
My AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Don't act like you my friend when I'm rollin' through my ends, though


You stuck in the friend zone, I tell that four-five the fifth, ayy
Hunnid bands inside my shorts, DeChino the shit, ayy
Try to stuff it all in, but it don't even fit, ayy
Know that I been with the shits ever since a jit, ayy
I made my first million, I'm like, ""Shit, this is it,"" ayy
30 for a walkthrough, man, we had that bitch lit, ayy
Had so many bottles, gave ugly girl a sip
Out the window of the Benzo, we get seen in the rent'
And I'm like ""Whoa, man, my neck so goddamn cold”
Diamonds wet, my t-shirt soaked
I got homies, let it go, oh
My money thick, won't ever fold
She said, ""Can I have some to hold?""
And I can't ever tell you no


Damn, my AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Come with the Tony Romo for clowns and all the bozos
My AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Don't act like you my friend when I'm rollin' through my ends, though


The AP goin' psycho, my Rollie goin' brazy
I'm hittin' lil' mama, she wanna have my babies
It's fifty on the pinky, chain so stanky
You should see the whip, promise I can take yo' bitch
Dolla ridin' in an old school Chevy, it's a drop top
Boolin' with a thot-thot, she gon' give me top-top
Just one switch, I can make the ass drop (Hey)
Ayy, take you to the smoke shop
We gon' get high, ayy, we gon' hit Rodeo
Dial up Valentino, we gon' hit Pico
Take you where I'm from, take you to the slums
This ain't happen overnight, no, these diamonds real bright
Saint Laurent jeans, still in my Vans though
All VVS', put you in a necklace
Girl, you look beautiful tonight
Stars on the roof, they matching with the jewelry


Damn, my AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Come with the Tony Romo for clowns and all the bozos
My AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Don't act like you my friend when I'm rollin' through my ends, though

",2010-2020
65,"


Said she tired of little money, need a big boy
Pull up 20 inch blades like I'm Lil’ Troy
Now it's everybody flockin', need a decoy
Shawty mixing up the vodka with the LaCroix, yeah
G-Wagen, G-Wagen, G-Wagen, G-Wagen
All the housewives pullin’ up (Up, up)
I got a lot of toys, 720S bumpin' Fall Out Boy
You was talkin' shit in the beginning (Mm-mm)
Back when I was feelin' more forgivin' (More forgivin')
I know it piss you off to see me winnin' (See me winnin')
See the igloo in my mouth when I be grinnin’ (I be grinnin’), yeah


Hunnid bands in my pocket, it's on me
Hunnid deep when I roll like the army
Get more bottles, these bottles are lonely
It’s a moment when I show up, got 'em sayin', ""Wow"" (Wow, wow)
Hunnid bands in my pocket, it's on me (On me)
Yeah, your grandmama probably know me (Know me)
Get more bottles, these bottles are lonely
It’s a moment when I show up, got 'em sayin', ""Wow"" (Wow, wow)


Everywhere I go (Hey)
Catch me on the block like I'm Mutombo (Wow)
750 Lambo in the Utah snow (Skrrt)
Trunk in the front like that shit Dumbo, yeah
Cut the roof off like a nip-tuck
Pull up to the house with some big butts
Turn the kitchen counter to a strip-club (Yeah, wow)
Me and Dre came for the...
When I got guap, all of y'all just appeared (Wow)
Before I dropped Stoney, none of y'all really cared (Cared)
Now they always say, ""Congratulations,"" to the kid (Kid)
And this is not a 40, but I'm pourin' out this shit (Yeah)
Used to have a lot, but I got more now (Yup)
Made another hit 'cause I got bored now (Yup)
Always goin' for it, never punt fourth down
Last call, Hail Mary, Prescott touchdown, ayy


Hunnid bands in my pocket, it's on me (On me)
Hunnid deep when I roll like the army (Hey)
Get more bottles, these bottles are lonely
It's a moment when I show up, got 'em sayin', ""Wow"" (Wow, wow)
Hunnid bands in my pocket, it's on me (Yeah, yeah)
Yeah, your grandmama probably know me (Yeah, yeah)
Get more bottles, these bottles are lonely
It's a moment when I show up, got 'em sayin', ""Wow""


Got 'em sayin', ""Wow""
Ayy, ayy, wow
Sayin', ""Wow""
Wow
Wow

",2010-2020
66,"


Said she tired of little money, need a big boy
Pull up 20 inch blades like I'm Lil’ Troy
Now it's everybody flockin', need a decoy
Shawty mixing up the vodka with the LaCroix, yeah
G-Wagen, G-Wagen, G-Wagen, G-Wagen
All the housewives pullin’ up (Up, up)
I got a lot of toys, 720S bumpin' Fall Out Boy
You was talkin' shit in the beginning (Mm-mm)
Back when I was feelin' more forgivin' (More forgivin')
I know it piss you off to see me winnin' (See me winnin')
See the igloo in my mouth when I be grinnin’ (I be grinnin’), yeah


Hunnid bands in my pocket, it's on me
Hunnid deep when I roll like the army
Get more bottles, these bottles are lonely
It’s a moment when I show up, got 'em sayin', ""Wow"" (Wow, wow)
Hunnid bands in my pocket, it's on me (On me)
Yeah, your grandmama probably know me (Know me)
Get more bottles, these bottles are lonely
It’s a moment when I show up, got 'em sayin', ""Wow"" (Wow, wow)


Everywhere I go (Hey)
Catch me on the block like I'm Mutombo (Wow)
750 Lambo in the Utah snow (Skrrt)
Trunk in the front like that shit Dumbo, yeah
Cut the roof off like a nip-tuck
Pull up to the house with some big butts
Turn the kitchen counter to a strip-club (Yeah, wow)
Me and Dre came for the...
When I got guap, all of y'all just appeared (Wow)
Before I dropped Stoney, none of y'all really cared (Cared)
Now they always say, ""Congratulations,"" to the kid (Kid)
And this is not a 40, but I'm pourin' out this shit (Yeah)
Used to have a lot, but I got more now (Yup)
Made another hit 'cause I got bored now (Yup)
Always goin' for it, never punt fourth down
Last call, Hail Mary, Prescott touchdown, ayy


Hunnid bands in my pocket, it's on me (On me)
Hunnid deep when I roll like the army (Hey)
Get more bottles, these bottles are lonely
It's a moment when I show up, got 'em sayin', ""Wow"" (Wow, wow)
Hunnid bands in my pocket, it's on me (Yeah, yeah)
Yeah, your grandmama probably know me (Yeah, yeah)
Get more bottles, these bottles are lonely
It's a moment when I show up, got 'em sayin', ""Wow""


Got 'em sayin', ""Wow""
Ayy, ayy, wow
Sayin', ""Wow""
Wow
Wow

",2010-2020
67,"


Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, go, go away
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, go, go away
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, go, go away
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, go, go away


We just wanna party
Party just for you
We just want the money
Money just for you (Yeah)
I know you wanna party
Party just for free
Girl, you got me dancin' (Girl, you got me dancin')
Dance and shake the frame (Yeah)
We just wanna party (Yeah)
Party just for you (Yeah)
We just want the money (Yeah)
Money just for you (You)
I know you wanna party (Yeah)
Party just for free (Yeah)
Girl, you got me dancin' (girl, you got me dancin', Yeah)
Dance and shake the frame (Ooh)


This is America
Don't catch you slippin' now
Don't catch you slippin' now
Look what I'm whippin' now
This is America (Woo)
Don't catch you slippin' now
Don't catch you slippin' now
Look what I'm whippin' now


This is America (Skrrt, skrrt, woo)
Don't catch you slippin' now (Ayy)
Look how I'm livin' now
Police be trippin' now (Woo)
Yeah, this is America (Woo, ayy)
Guns in my area (Word, my area)
I got the strap (Ayy, ayy)
I gotta carry 'em
Yeah, yeah, I'ma go into this (Ugh)
Yeah, yeah, this is guerilla (Woo)
Yeah, yeah, I'ma go get the bag
Yeah, yeah, or I'ma get the pad
Yeah, yeah, I'm so cold like, yeah (Yeah)
I'm so dope like, yeah (Woo)
We gon' blow like, yeah (Straight up, uh)


Ooh-ooh-ooh-ooh-ooh, tell somebody
You go tell somebody
Grandma told me
Get your money, Black man (get your— Black man)
Get your money, Black man (get your—Black man)
Get your money, Black man (get your—Black man)
Get your money, Black man (get your—Black man)
Black man


This is America (Woo, ayy)
Don't catch you slippin' now (Woo, woo, don't catch you slippin' now)
Don't catch you slippin' now (Ayy, woah)
Look what I'm whippin' now (Slime!)
This is America (Yeah, yeah)
Don't catch you slippin' now (Woah, ayy)
Don't catch you slippin' now (Ayy, woo)
Look what I'm whippin' now (Ayy)


Look how I'm geekin' out (Hey)
I'm so fitted (I'm so fitted, woo)
I'm on Gucci (I'm on Gucci)
I'm so pretty (Yeah, yeah, woo)
I'm gon' get it (Ayy, I'm gon' get it)
Watch me move (Blaow)
This a celly (Ha)
That's a tool (Yeah)
On my Kodak (Woo) Black
Ooh, know that (Yeah, know that, hold on)
Get it (Woo, get it, get it)
Ooh, work it (21)
Hunnid bands, hunnid bands, hunnid bands (Hunnid bands)
Contraband, contraband, contraband (Contraband)
I got the plug in Oaxaca (Woah)
They gonna find you like ""blocka"" (Blaow)


Ooh-ooh-ooh-ooh-ooh, tell somebody
America, I just checked my following list, and
You go tell somebody
You mothafuckas owe me
Grandma told me
Get your money, Black man (Black man)
Get your money, Black man (Black man)
Get your money, Black man (Black man)
Get your money, Black man (Black man)
Black man
(1, 2, 3—get down)
Ooh-ooh-ooh-ooh-ooh, tell somebody
You go tell somebody
Grandma told me, ""Get your money""
Get your money, Black man (Black man)
Get your money, Black man (Black man)
Get your money, Black man (Black man)
Get your money, Black man (Black man)
Black man


You just a black man in this world
You just a barcode, ayy
You just a black man in this world
Drivin' expensive foreigns, ayy
You just a big dawg, yeah
I kenneled him in the backyard
No, probably ain't life to a dog
For a big dog

",2010-2020
68,"


Yeah


Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (Yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah
Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (Yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah


I gave her everything
She took my heart and left me lonely
I think broken heart's contagious
I won't fix, I'd rather weep
I'm lost then I'm found
But it's torture bein' in love
I love when you're around
But I fuckin' hate when you leave


Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (Yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah
Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (Yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah




Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (Yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah
Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (Yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah

",2010-2020
69,"


Enviyon on the mix
No, no, no, no
No-no, no, no, no
No, no, no, no, no
No, no, no, no


I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done, I thought you were the one
Listenin' to my heart instead of my head
You found another one, but I am the better one
I won't let you forget me
I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done, I thought you were the one
Listenin' to my heart instead of my head
You found another one, but I am the better one
I won't let you forget me


You left me falling and landing inside my grave
I know that you want me dead
I take prescriptions to make me feel a-okay
I know it's all in my head
I have these lucid dreams where I can't move a thing
Thinking of you in my bed
You were my everything
Thoughts of a wedding ring
Now I'm just better off dead
I'll do it over again
I didn't want it to end
I watch it blow in the wind
I should've listened to my friends
Leave this shit in the past, but I want it to last
You were made outta plastic, fake
I was tangled up in your drastic ways
Who knew evil girls had the prettiest face?
You gave me a heart that was full of mistakes
I gave you my heart and you made heart break


You made my heart break
You made my heart ache (I still see your shadows in my room)
You made my heart break
You made my heart ache (Can't take back the love that I gave you)
You made my heart break (Were made outta plastic, fake)
You made my heart ache (I still see your shadows in my room)
You made my heart break again (I was tangled up in your drastic ways)
(Who knew evil girls had the prettiest face?)


I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done, I thought you were the one
Listenin' to my heart instead of my head
You found another one, but I am the better one
I won't let you forget me
I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done, I thought you were the one
Listenin' to my heart instead of my head
You found another one, but I am the better one
I won't let you forget me


Leave this shit in the past, but I want it to last
You were made outta plastic, fake
I was tangled up in your drastic ways
Who knew evil girls had the prettiest face?
Easier said than done, I thought you were...
...instead of my head
You found another...
...better one
I won't let you forget me

",2010-2020
70,"


D.A. got that dope!


Ice water, turned Atlantic (Freeze)
Nightcrawlin' in the Phantom (Skrrt, Skrrt)
Told them hoes that don't you panic
Took an island, (Yeah) flood the mansion (Big water)
Dropped the roof, more expansion
Drive a coupe you can stand in (It's lit)
See the bitches undercover (In the sheets)
I'm an ass and titty lover (Big ass)
Guess we all made for each other
Now that all the dawgs free (Yeah, yeah)
And we out in these streets (Alright)
Can you do it, can you pop it for me?


Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)


Offset!
Blow the brains out the coupe (Boom)
Police wanna talk, but I'm on mute (Woo-woo, hey)
I'ma bust her wrist down 'cause she cute (Ice, ice)
Fuck her on a yacht, dive in a pool (Yeah)
She an addict (Addict), addict for the lifestyle and the Patek (Patek)
Big daddy, have you ever felt Chanel fabrics? (Chanel)
I be drippin' to death, I need a casket (Drippin')
And we got more stripes than the ref, he foul, TEC him (Bow, stripes)
In the middle of the field like David Beckham (Field, bow-bow)
All my niggas locked up, for real, I'm tryna help 'em (Free, free)
When I got a mil', got me the chills, don't know what happened (Hoo, chills)
Pop pills, do what you feel, I'm on that zombie (Hey, hoo)
I'm more like Gaddafi, I'm not no Gandhi (Gaddafi, hey)
I'm more like I'm David, Goliath runnin' (Hey, hey)
Niggas be clonin', I find it funny (Clone, haha)
We from the Nawf, straight out of the dungeon (We from the Nawf, hey)
I go in her mouth, she can't tell me nothin' (Eghck, eghck, egchk)
300, the watch is out of your budget (Woo, woo, 300)
Mean-muggin' got me clutchin'
Yeah, and this stick right out of Russia


Ice water, turned Atlantic (Freeze)
Nightcrawlin' in the Phantom (Skrrt, skrrt)
Told them hoes that don't you panic
Took an island, (Yeah) flood the mansion (Big water)
Dropped the roof, more expansion
Drive a coupe you can stand in (It's lit)
Bitches undercover (In the sheets)
I'm an ass and titty lover (Big ass)
Guess we all made for each other
Now that all the dawgs free (Yeah, yeah)
And we out in these streets (Alright)
Can you do it, can you pop it for me?


Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)


In a Hellcat 'cause I'm a hell-raiser
Self-made, I don't owe a nigga nann favor
When you get that money, nigga, keep your heart
I'm slidin' in a coupe, ain't got no key to start
I got the fire on me in BET Awards
When your well run dry, you know you need me for it
When I pull up in the Buick, you know what I'm doin'
If the police get behind me, I'm fleein' and eludin'
Sleepin' on the palette turned me to a savage
I'm a project baby, now I stay in Calabasas
Like I still serve fiends, like I'm still jackin'
I be sippin' on lean, tryna keep balance
Hit that Z-Walk, Dickie's with my Reeboks
I don't say much, I just let the heat talk
Your jewelry water whip, diamonds like re-rock
My lil' baby ride the dick like a seesaw
When I stepped up on the scene, I was on a bean
When I jumped up out the Beam', I was in Celine
Baby girl, you just a fling, that ain't what I mean
Money bustin' out my jeans like I do the scheme


Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)


Uh-huh, ha, oh-ah-oh
Uh-huh, ha, oh-ah-oh
Uh-huh, ha, oh-ah-oh
Uh-huh, ha, oh-ah-oh

",2010-2020
71,"




Astro, yeah
Sun is down, freezin' cold
That's how we already know, winter's here
My dawg would probably do it for a Louis belt
That's just all he know, he don't know nothin' else
I tried to show 'em, yeah
I tried to show 'em, yeah, yeah
Yeah, yeah, yeah
Goin' on you with the pick and roll
Young La Flame, he in sicko mode




Woo, made this here with all the ice on in the booth
At the gate outside, when they pull up, they get me loose
Yeah, Jump Out boys, that's Nike boys, hoppin' out coupes
This shit way too big, when we pull up, give me the loot
(Gimme the loot!)
Was off the Remy, had a Papoose
Had to hit my old town to duck the news
Two four hour lockdown, we made no moves
Now it's 4 a.m. and I'm back up poppin' with the crew
I just landed in, Chase B mixes pop like Jamba Juice
Different colored chains, think my jeweler really sellin' fruits
And they chokin', man, know the crackers wish it was a noose


Some-Some-Some-Someone said
To win the retreat, we all in too deep
Pl-Pl-Playin' for keeps, don't play us for weak (Someone said)
To win the retreat, we all in too deep
Pl-Pl-Playin' for keeps, don't play us for weak


Yeah, this shit way too formal, y'all know I don’t follow suit
Stacey Dash, most of these girls ain't got a clue
All of these hoes I made off records I produced
I might take all my exes and put 'em all in a group
Hit my eses, I need the bootch
'Bout to turn this function to Bonnaroo
Told her, ""Hop in, you comin' too""
In the 305, bitches treat me like I'm Uncle Luke
(Don't stop, pop that pussy!)
Had to slop the top off, it's just a roof, uh
She said, ""Where we goin'?"" I said, ""The moon""
We ain't even make it to the room
She thought it was the ocean, it's just the pool
Now I got her open, it's just the Goose
Who put this shit together? I'm the glue


Someone said
Shorty FaceTimed me out the blue
Someone said
Pl-Playin' for keeps
Someone said, motherfucker—someone said
Don't play us for weak




Yeah!
Astro, yeah, yeah
(Tay Keith, fuck these niggas up!)
Ayy, ayy


She's in love with who I am
Back in high school, I used to bus it to the dance (Yeah)
Now I hit the FBO with duffels in my hands
I did half a Xan, thirteen hours 'til I land
Had me out like a light, ayy, yeah
Like a light, ayy, yeah


Like a light, ayy, slept through the flight, ayy
Knocked for the night, ayy
767, man, this shit got double bedroom, man
I still got scores to settle, man
I crept down the block (Down the block)
Made a right (Yeah, right)
Cut the lights (Yeah, what?), paid the price (Yeah)
Niggas think it's sweet (Nah, never), it's on sight (Yeah, what?)
Nothin' nice (Yeah), baguettes in my ice (Aw, man)
Jesus Christ (Yeah), checks over stripes (Yeah)
That's what I like (Yeah), that's what we like (Yeah)
Lost my respect, you not a threat
When I shoot my shot, that shit wetty like I'm Sheck (Bitch!)
See the shots that I took (Ayy), wet like I'm Book (Ayy)
Wet like I'm Lizzie
I be spinnin' Valley, circle blocks 'til I'm dizzy (Yeah, what?)
Like where is he? (Yeah, what?)
No one seen him (Yeah, yeah)
I'm tryna clean 'em (Yeah)


She's in love with who I am
Back in high school, I used to bus it to the dance
Now I hit the FBO with duffels in my hands (Woo!)
I did half a Xan, 13 hours 'til I land
Had me out like a light (Like a light)
Like a light (Like a light)
Like a light (Like a light)
Like a light


Yeah, passed the dawgs a celly
Sendin' texts, ain't sendin' kites, yeah
He said, ""Keep that on lock""
I say, ""You know this shit, it's stife,"" yeah
It's absolute, yeah (Yeah), I'm back, reboot (It's lit!)
LaFerrari to Jamba Juice, yeah (Skrrt, skrrt)
We back on the road, they jumpin' off, no parachute, yeah
Shawty in the back
She said she workin' on her glutes, yeah (Oh my God)
Ain't by the book, yeah, this how it look, yeah
'Bout a check, yeah (Check), just check the foots, yeah
Pass this to my daughter, I'ma show her what it took (Yeah)
Baby mama cover Forbes, got these other bitches shook
Yeah

",2010-2020
72,"


Ayy, ayy, ayy, ayy (Ooh)
Ooh, ooh, ooh, ooh (Ooh)
Ayy, ayy
Ooh, ooh, ooh, ooh


Needless to say, I keep it in check
She was a bad-bad, nevertheless (Yeah)
Callin' it quits now, baby, I'm a wreck (Wreck)
Crash at my place, baby, you're a wreck (Wreck)
Needless to say, I'm keeping in check
She was a bad-bad, nevertheless
Callin' it quits now, baby, I'm a wreck
Crash at my place, baby, you're a wreck
Thinkin' in a bad way, losin' your grip
Screamin' at my face, baby, don't trip
Someone took a big L, don't know how that felt
Lookin' at you sideways, party on tilt
Ooh-ooh, some things you just can't refuse
She wanna ride me like a cruise and I'm not tryna lose


Then you're left in the dust, unless I stuck by ya
You're a sunflower, I think your love would be too much
Or you'll be left in the dust, unless I stuck by ya
You're the sunflower, you're the sunflower


Every time I'm leavin' on ya (Ooh)
You don't make it easy, no (No, no)
Wish I could be there for ya (Ooh)
Give me a reason to, oh (Oh)
Every time I'm walkin' out (Oh)
I can hear you tellin' me to turn around (Oh, oh)
Fightin' for my trust and you won't back down (No)
Even if we gotta risk it all right now, oh (Now)
I know you're scared of the unknown (Known)
You don't wanna be alone (Alone)
I know I always come and go (And go)
But it's out of my control


And you'll be left in the dust, unless I stuck by ya
You're the sunflower, I think your love would be too much
Or you'll be left in the dust, unless I stuck by ya
You're the sunflower, you're the sunflower (Yeah)

",2010-2020
0,"

Whistle while you twurk (whistle)
Go head and start and make that pussy fart and
Whistle while you twurk (twurk some)

HOOK:
Ying yang in this thang (ying yang) (x8)

(Kaine:)
Let me see ya make that pussy fart, good Lord
Make it shake like a salt shaker, too hard
Get it up 'till you can't ugh, no mo'
See I love when you hoes take it to tha floor
Baby bounce biggy bounce ugh, it's on you
Shorty you can twurk in your skirt, if you want to
See we came to keep it crunk for ya, all night
Put a dub in da club show me, what I like

(D-Roc:)
Freak bitch make money in da club
Them hoes like to take it off for a thug
You can't come wit nuthin' less than a dub
Or she lookin' at yo ass like a scrub
Them hoes like it when a niggas shoen love
And she'll show you what she really made of
I guarantee yo ass wouldn't get enough
Tell her pop that shit, drop that shit, ""What?""

Repeat chorus twice

(D-Roc:)
Where them hoes that's buying me a ticket
I thank they all dance at club nikki
Now where them hoes who be spittin' that game
I thank they all dance at tha blue flame
Where them hoes that be hard booty shakin'
I thank they all dance at tha foxxy lady

(Kaine:)
I know she a shakin' booty hoe no teaser
She ain't no sceaser when ya all fat pleaser
Now where them bitches that be quick to show them titties
I thank they all dance at tha magic city
I know some hoe that be quick to take over
You got tha green on your scene and strokers

(D-Roc:)
And whistle while you twurk, gotta make that money fo' sure
Got some nice looking tities, body look pretty
So dont be scared to twurk

(Kaine:)
Say them niggas in tha club wanna hate
Wanna touch her pussy and never wanna pay
I said shouty fuck that nigga do your thang
I see your crunk tiger stripe G- strang
It's bout that dollar bill then peppermint
See them hoes represent for their rent

(D-Roc:)
If you in a booty club and you get your money spent
And baby mama now she wonder where it went

Repeat chorus twice

(D-Roc:)
Some of these bitches be real, they hard knock
Once you get em crunk they start, they won't stop
Hoes get naked for cheese, they love that
Take tha baddest bitch in tha club, I fucked that
Some these bitches been crunk since first day
Some of these bitches in tha club, they don't play
Half these bitches who shake it, they turn gay
Niggas gone pay to see pussy, anyway (ahh, ahh)

(Kaine:)
Some of these niggas be walkin' tha thin line
Fuckin' wit' these hoes wit' no clothes and no mind
Baby girl out to get money she gone shine
Everyday of work she gone be there on time
Her pussy poppin' shouty be sweatin' like she noid
Kinda like tha way that thang beat like a heart
Turn around yeah that's it, good lord
Tryin' to do a Chinese split and make it fart

(D-Roc:)
(""Ying yang in this thang"" in the background at
The beginning of each line)
Ying Yang in this thang, from the A-T-eeL
Whistle while you twurk if you really real
In tha club smelling like some wood
In my neighbourhood
Girls get crunk in the piz ball
If you sit down, get up off tha wall
Males only speak, if the females flirt
If you get crunk, whistle while you twurk

Repeat chorus four times

",2000-2010
1,"

Yo', this Jay-tweezie
Keepin it live off the heezie fo' cheezy
With them 504 Boyz you dig, check it
This here is to played loud as possible
Preferably in residential neighborhoods and night clubs
Grab your shorty and let's go


Now won't you wobble wobble
Let me see you shake it, shake it
Now won't you drop it, drop it
Ohh, take it, take it

Now won't you wobble wobble
Let me see you shake it, shake it
Now won't you drop it, drop it
Ohh, take it, take it


You already know what's happenin' when I step in this bitch
And I know you've heard of me
Cause I'm right there off of GT and Derbigny
You've been 'bout serving it, every since you heard my song
I got you bucked up, you want that camouflage love, huh
You got me fucked up
I just want to see you wobble, like your momma's won that lotto
Like your daddy full of that bottle
Like your brother when he caught them hollows
Like them G.T. bitches, them Saint T. bitches, my No Limit bitches
Them boss bitches who 'bout they riches, and it ain't no secret
They want that soldier dick that you only get from that soldier clique
That Whoa! bitch I told ya' dick, 'welling up
We drop it like it's hotter, from the dance floor to the Ramada
Giving up them peso's, I thinks nada, look


Now won't you wobble wobble
Let me see you shake it, shake it
Now won't you drop it, drop it
Ohh, take it, take it


Now when you shake that ass, I get rocked up
You got a boyfriend boo (Wodie, my man locked up)
Everytime you wobble wobble it gets me horny
So I can ride that ass from the night until in the morning
I could respect your mind, if you could respect the game
Is it cool to fuck, or is this about some change


Now won't you wobble wobble
Let me see you shake it, shake it
Now won't you drop it, drop it
Ohh, take it, take it


I like it when I see 'em at the club, shaking that thang
Girl you really got me thinking 'bout taking that thang, come here
Now when they wobbly, wobbly, ass bouncing everywhere
The way she drop it like that, I can't help but to stare
Got a nigga saying ""Ohhh girl""
Come a little closer, I'm trying to make you out my boo girl
Don't move girl, I'm on my way to the floor baby
Coming for mine, want to see if you can really shake it
Let's bump and grind, girl you did that
The way you bounce it and shake it, you know I'm with that
I'm trying to get that, cause you got me rock hard (Ohh my God)
Got me humpin and humpin it (huh) humpin like a dog, WOOF


Now won't you wobble wobble
Let me see you shake it, shake it
Now won't you drop it, drop it
Ohh, take it, take it


Back your ass, Whoo, the fuck up
I thought I told you, put your meanest face on for me
And them steel-toe boots, gonna stomp your ass
Want it, hunt it, some old niggas ready to jump your ass


I'll be there for you baby, just beep me
Start paging soldier, when you want a freak male
I like freaking at your man's house, when he leave I toot
What would he say if he knew that I was sexing you


Let me see you wobble then shake it, then baby pop it, don't break it
You want love let's make it, I just can't wait 'til you naked
You lick your lips it makes me hard
Daydreamin' of screamin' and fiendin'
You creamin' for sex, that you gonna get this evening
Ya' heard me


Now won't you wobble wobble
Let me see you shake it, shake it
Now won't you drop it, drop it
Ohh, take it, take it

We them 504 Boyz, huh, we them 504 Boyz

",2000-2010
